Avaspec driver test, v1.0
May 27,2005
Spectrometer found.
 - # channels: 1
 - # pixels:   2034
 - # extra_pix:14
 - Channel 0
   - Start: 0
   - Stop:  2034
   - Range: 0-2034
   - Calibration: 335.85, 0.138515, -6.14672e-06, -7.41674e-10, 0, 1.2, -90, 
Take a spectrum!
Done.
Dark pixels: 10183
548, 671, 605, 815, 812, 920, 819, 751, 740, 585, 719, 672, 859, 667, 
371.3, -101, 10
371.435, -150, -27
371.57, -81, 7
371.705, -154, 16
371.84, -108, -15
371.975, -92, -53
372.11, -156, -15
372.246, -3, -43
372.381, -20, -26
372.516, -153, -13
372.651, -178, -18
372.786, -73, 1
372.921, -77, -53
373.056, -102, 6
373.191, -164, -37
373.326, -88, 15
373.461, -226, -30
373.596, -106, 6
373.731, -172, 20
373.866, -138, -33
374.001, -236, 3
374.135, -64, -24
374.27, -237, 23
374.405, -43, -2
374.54, -75, 6
374.675, -126, -31
374.81, -134, -3
374.945, -182, 4
375.079, -101, -47
375.214, -57, 9
375.349, -22, 26
375.484, -117, -8
375.618, -41, 3
375.753, -191, 19
375.888, -238, 24
376.023, 221, -57
376.157, -26, -22
376.292, -196, -48
376.427, -214, 4
376.561, -217, -14
376.696, -203, 10
376.831, -86, -15
376.965, -90, -73
377.1, -102, -5
377.234, -161, -19
377.369, -88, -4
377.504, -11, -34
377.638, -83, 13
377.773, 103, -27
377.907, -198, -27
378.042, -196, 11
378.176, -161, 11
378.311, -216, -16
378.445, -124, 21
378.58, -2, 2
378.714, -120, 14
378.849, -215, 6
378.983, -127, -8
379.117, -5, -6
379.252, -33, -47
379.386, 61, -14
379.52, -118, 7
379.655, -95, 19
379.789, -184, -8
379.923, -139, 7
380.058, -156, -23
380.192, 5, -29
380.326, -8, -11
380.461, 38, -15
380.595, -190, 13
380.729, -93, 6
380.863, -107, 2
380.998, -150, -8
381.132, -142, -10
381.266, 8, 25
381.4, 9, 34
381.534, -16, -32
381.668, -101, 25
381.802, -48, -37
381.937, -105, -14
382.071, -256, -9
382.205, -172, -10
382.339, -35, -13
382.473, -223, -23
382.607, -35, -8
382.741, -45, 8
382.875, -135, -28
383.009, 49, -2
383.143, -244, -22
383.277, -240, -10
383.411, -36, -45
383.545, -119, 19
383.679, -230, -3
383.813, -268, 22
383.947, -244, 24
384.081, -194, 54
384.214, -94, -19
384.348, -232, -28
384.482, -148, 13
384.616, -9, 34
384.75, -48, 1
384.884, -46, -17
385.017, -1, 1
385.151, -90, -12
385.285, -126, -12
385.419, -137, 21
385.552, -148, -30
385.686, -159, 8
385.82, 16, -13
385.954, -2, 1
386.087, -6, 4
386.221, -22, -15
386.355, 128, -34
386.488, -151, 49
386.622, 90, -44
386.755, -192, 3
386.889, -9, 38
387.023, -100, 11
387.156, -125, -51
387.29, -26, -33
387.423, -82, -3
387.557, 225, -29
387.69, -86, -21
387.824, -128, -31
387.957, -60, -35
388.091, -146, -58
388.224, -16, 15
388.358, -238, -32
388.491, -74, 28
388.625, -57, -52
388.758, -173, -13
388.891, -62, 1
389.025, -166, -38
389.158, -200, -30
389.291, 3, 2
389.425, -75, -25
389.558, 1592, 20
389.691, 4253, -67
389.825, 2253, -17
389.958, 70, 60
390.091, -99, -54
390.224, 90, -16
390.358, -136, -32
390.491, 266, -10
390.624, -80, -51
390.757, -26, -7
390.89, -2, 8
391.024, 94, 4
391.157, -79, 17
391.29, 11, -26
391.423, -256, 13
391.556, 40, 15
391.689, -46, -8
391.822, 133, 17
391.955, -108, 70
392.088, -1, -49
392.221, -118, 14
392.354, 32, -26
392.487, 65, -56
392.62, 52, -28
392.753, -151, -34
392.886, 18, -8
393.019, 61, 11
393.152, 3, -62
393.285, -206, -12
393.418, -113, -10
393.551, -108, 30
393.684, 58, -21
393.817, 14, -19
393.95, -62, -10
394.082, -172, 8
394.215, 13, -10
394.348, -86, -66
394.481, 90, 50
394.614, -25, 5
394.746, 61, -5
394.879, -139, 3
395.012, 3, -10
395.145, -120, -43
395.277, -189, -6
395.41, -97, -9
395.543, -199, 29
395.675, -114, -13
395.808, -59, -10
395.941, -62, 1
396.073, -94, 29
396.206, -103, -29
396.339, 31, -39
396.471, -32, 19
396.604, -195, 27
396.736, -103, 6
396.869, 10, -25
397.001, 45, -26
397.134, 343, -40
397.266, 1703, 37
397.399, 1603, -65
397.531, -75, -37
397.664, -6, 18
397.796, 132, -31
397.929, -102, -12
398.061, -102, -4
398.193, -186, 28
398.326, 314, -39
398.458, -24, 23
398.591, 22, -15
398.723, -195, -3
398.855, -196, -7
398.987, 8, -28
399.12, -32, 15
399.252, -21, -36
399.384, -170, -36
399.517, -16, -53
399.649, -53, -23
399.781, -120, 4
399.913, -11, 51
400.045, -12, -48
400.178, 22, 21
400.31, 116, 24
400.442, 15, 37
400.574, -140, -13
400.706, 110, -20
400.838, -196, 20
400.97, 161, -37
401.103, -92, 13
401.235, 6, -66
401.367, 142, 13
401.499, -47, -7
401.631, 16, -46
401.763, -33, 0
401.895, -50, 45
402.027, 49, -26
402.159, -40, -8
402.291, -130, -35
402.423, -32, -51
402.554, -56, 11
402.686, 190, 8
402.818, 40, -27
402.95, -166, 4
403.082, -25, -31
403.214, 75, -17
403.346, 259, -13
403.477, 556, -48
403.609, 167, 44
403.741, -6, -30
403.873, 72, -3
404.005, 120, -16
404.136, 105, 10
404.268, -159, -13
404.4, 11, -42
404.531, -72, -50
404.663, -26, 14
404.795, -82, -31
404.926, 65, -9
405.058, -136, 7
405.19, 4, -19
405.321, 33, -5
405.453, -19, -19
405.585, 254, -10
405.716, -67, -57
405.848, -53, -33
405.979, -254, 38
406.111, -75, -37
406.242, 154, 12
406.374, -79, -3
406.505, -180, -17
406.637, -83, 26
406.768, -115, -31
406.9, -130, -17
407.031, -192, -39
407.163, -163, -12
407.294, 193, -24
407.425, -104, -18
407.557, -43, -14
407.688, 25, -29
407.819, -142, -8
407.951, 88, -61
408.082, -48, 21
408.213, -65, -16
408.345, -105, 9
408.476, 65, -6
408.607, -111, -20
408.738, -45, 14
408.869, -133, 19
409.001, -62, -34
409.132, -99, -12
409.263, 93, -40
409.394, 15, -22
409.525, -100, -23
409.656, -10, -17
409.788, -183, -30
409.919, -36, 12
410.05, -38, -1
410.181, -230, 9
410.312, -64, -7
410.443, -164, 4
410.574, -135, -25
410.705, -31, -47
410.836, 21, 21
410.967, 146, -15
411.098, -51, 4
411.229, -93, -16
411.36, 28, -32
411.491, -126, 18
411.622, -58, -33
411.753, -190, -24
411.883, 24, -44
412.014, -217, -2
412.145, -67, -34
412.276, -58, 35
412.407, -140, -13
412.538, 114, 32
412.668, 188, -45
412.799, 595, 18
412.93, 715, -48
413.061, 157, -52
413.191, 116, 46
413.322, -80, 8
413.453, 75, -35
413.584, 152, -2
413.714, -52, -6
413.845, -132, -3
413.976, 167, -33
414.106, -124, 11
414.237, -71, -52
414.367, 22, 2
414.498, 51, -4
414.629, 0, 10
414.759, -116, -8
414.89, -150, -39
415.02, 176, 26
415.151, 228, 27
415.281, 142, -13
415.412, -118, -27
415.542, -27, -21
415.673, 2, -32
415.803, -104, -9
415.933, -215, -7
416.064, -138, -1
416.194, -26, 5
416.325, -171, -18
416.455, -136, 5
416.585, -26, -26
416.716, -157, 21
416.846, -71, 25
416.976, -240, -24
417.107, -163, 15
417.237, 18, -14
417.367, -10, -3
417.497, -81, 12
417.628, 88, -37
417.758, 99, 3
417.888, -112, 1
418.018, -110, -50
418.148, 84, -7
418.278, -110, 9
418.409, -65, -63
418.539, -11, -23
418.669, -79, 17
418.799, -191, 15
418.929, 68, 24
419.059, -129, 13
419.189, -118, 34
419.319, 57, -14
419.449, -112, -15
419.579, 1, -2
419.709, -36, 34
419.839, 7, 17
419.969, -134, -40
420.099, -151, -37
420.229, -122, -12
420.359, -57, -2
420.489, 39, -21
420.619, -16, 20
420.748, 115, -11
420.878, -228, -4
421.008, -102, 0
421.138, -64, -3
421.268, -51, -19
421.397, -8, -31
421.527, 9, 2
421.657, -90, 33
421.787, 11, -41
421.916, -108, 18
422.046, -97, 5
422.176, -30, -20
422.306, -141, 22
422.435, -192, 21
422.565, -150, 7
422.695, 49, -35
422.824, -2, -13
422.954, -19, 7
423.083, -13, -7
423.213, 67, -44
423.342, 114, -30
423.472, -41, -22
423.602, -165, -30
423.731, -107, 51
423.861, -72, 5
423.99, 127, 15
424.12, -160, -2
424.249, -154, -7
424.378, -110, -25
424.508, -230, -20
424.637, 147, -23
424.767, -74, -29
424.896, -94, -45
425.025, 19, -4
425.155, -109, 4
425.284, -57, 47
425.413, -38, -15
425.543, 176, -30
425.672, -157, -12
425.801, -142, -16
425.931, -225, -9
426.06, -167, 12
426.189, -113, -4
426.318, -182, -5
426.447, 20, -67
426.577, -49, -2
426.706, 99, -20
426.835, -75, -35
426.964, 141, -29
427.093, 157, -49
427.222, -75, 31
427.351, 242, -30
427.48, 207, 14
427.609, -198, -49
427.738, -134, 7
427.868, 5, -9
427.997, -66, -17
428.126, 98, -4
428.255, 121, 46
428.383, -51, -3
428.512, 119, -23
428.641, -81, 20
428.77, 115, -33
428.899, 79, -37
429.028, -77, 16
429.157, -133, 54
429.286, 102, 35
429.415, -67, 8
429.543, 6, -12
429.672, -210, 20
429.801, 19, -49
429.93, 14, -4
430.059, 81, -54
430.187, 129, 6
430.316, -97, -2
430.445, -238, -20
430.574, -43, 12
430.702, 82, 36
430.831, -193, 18
430.96, 201, 6
431.088, -125, -25
431.217, 13, -4
431.345, -176, -5
431.474, 42, 14
431.603, -142, -19
431.731, 75, -7
431.86, -41, 10
431.988, -136, 16
432.117, 4, -21
432.245, -106, -21
432.374, -184, -2
432.502, -134, -10
432.631, 29, -3
432.759, 63, -2
432.888, 78, 5
433.016, -111, -29
433.144, -55, 5
433.273, -137, 31
433.401, -69, 22
433.529, -88, -16
433.658, -115, -21
433.786, -100, 53
433.914, 234, -17
434.043, -33, 3
434.171, -96, -8
434.299, 79, 21
434.427, 63, -15
434.556, -64, 26
434.684, -30, 3
434.812, 304, -7
434.94, 295, -44
435.068, 52, -25
435.197, -10, 15
435.325, 122, -36
435.453, -69, -51
435.581, -28, -15
435.709, -13, 5
435.837, -171, 40
435.965, 36, -24
436.093, -271, 8
436.221, -149, -4
436.349, -123, 21
436.477, -171, -48
436.605, 180, -26
436.733, 153, -37
436.861, 25, 32
436.989, 75, -42
437.117, 201, 18
437.245, -162, 10
437.373, 10, -19
437.5, 114, -25
437.628, -168, -5
437.756, -82, 41
437.884, -69, -30
438.012, -17, -19
438.14, -33, -26
438.267, -21, 21
438.395, -104, -36
438.523, -107, -20
438.651, -200, -40
438.778, -40, 20
438.906, -87, -38
439.034, -155, -37
439.161, 125, 6
439.289, 163, -27
439.417, 30, 13
439.544, 924, -67
439.672, 738, -11
439.799, 146, 16
439.927, -9, 2
440.054, -26, 43
440.182, -54, -7
440.31, -101, -8
440.437, -85, 2
440.564, -10, -41
440.692, -150, 14
440.819, -175, -29
440.947, 21, 4
441.074, -17, 36
441.202, -74, 35
441.329, -52, 12
441.456, 10, -2
441.584, 34, 25
441.711, 103, -2
441.838, -206, 7
441.966, -49, -69
442.093, -49, -44
442.22, -71, 23
442.348, -140, -8
442.475, 66, -12
442.602, -59, -3
442.729, 10, 13
442.857, -20, -44
442.984, -197, -25
443.111, -72, -12
443.238, -76, -42
443.365, 109, -7
443.492, -87, -21
443.619, 40, -18
443.746, -170, 17
443.874, -185, -4
444.001, -41, -8
444.128, -81, 7
444.255, -32, -3
444.382, 169, 30
444.509, 680, -57
444.636, 725, 52
444.763, -116, -21
444.89, 15, 17
445.016, -80, -16
445.143, 27, 0
445.27, -64, -24
445.397, -4, 1
445.524, 37, -12
445.651, -79, -16
445.778, -103, -30
445.905, 12, -1
446.031, -4, -58
446.158, -16, 12
446.285, -161, -35
446.412, 43, -26
446.538, -147, 4
446.665, 128, -27
446.792, 126, -36
446.918, -75, 12
447.045, -22, -27
447.172, -67, -12
447.298, -42, 51
447.425, 123, -19
447.552, 22, -13
447.678, 50, -3
447.805, 899, -52
447.931, 2191, 41
448.058, 1181, -33
448.185, -75, 59
448.311, -32, 3
448.438, -22, 9
448.564, 66, 27
448.69, -35, -7
448.817, -235, -21
448.943, 123, 5
449.07, 31, -41
449.196, 45, -16
449.323, 13, 17
449.449, -22, 28
449.575, 34, -7
449.702, 169, -28
449.828, -3, -25
449.954, 63, -18
450.081, 86, 28
450.207, 15, -61
450.333, -96, -28
450.459, -22, -5
450.586, 31, -14
450.712, -20, -38
450.838, -120, 35
450.964, 260, 12
451.09, -15, -24
451.216, -33, -24
451.343, -220, 28
451.469, 17, -59
451.595, -3, -6
451.721, 82, -100
451.847, -102, -14
451.973, -102, -17
452.099, -73, -31
452.225, 187, -47
452.351, -57, 2
452.477, -92, -9
452.603, 81, 14
452.729, 80, -53
452.855, 220, -15
452.981, 62, 0
453.107, -161, -18
453.233, 50, -8
453.358, 205, -30
453.484, -129, -22
453.61, 132, 3
453.736, -74, -45
453.862, -80, 2
453.987, -164, -11
454.113, 17, -62
454.239, 51, -30
454.365, -69, 4
454.49, 77, 6
454.616, -75, 6
454.742, 134, -59
454.868, 26, 7
454.993, -58, -20
455.119, -109, -26
455.244, -37, -34
455.37, 122, -2
455.496, 9, -23
455.621, 29, 12
455.747, -113, 39
455.872, 80, -35
455.998, -75, -4
456.123, 31, -23
456.249, 6, -28
456.374, 105, -35
456.5, 161, -25
456.625, 18, -1
456.751, 32, -2
456.876, -87, -3
457.001, -70, -54
457.127, -74, -17
457.252, -163, -21
457.378, 56, -10
457.503, 66, 30
457.628, 1, -39
457.754, -78, -58
457.879, 130, -14
458.004, 32, -17
458.129, 22, -11
458.255, -76, 6
458.38, -26, -13
458.505, -43, 20
458.63, -159, -11
458.755, -41, 8
458.88, -1, -56
459.006, -44, -52
459.131, -64, 4
459.256, -26, -45
459.381, -120, 13
459.506, 32, 26
459.631, -98, -5
459.756, 14, -18
459.881, 33, -21
460.006, 38, 27
460.131, -75, -34
460.256, 101, 19
460.381, 25, 27
460.506, 56, -35
460.631, 83, -28
460.756, -24, -33
460.881, -149, -26
461.005, -192, 6
461.13, -52, -41
461.255, 43, 45
461.38, -186, 0
461.505, 179, 29
461.63, -104, -26
461.754, -2, -2
461.879, 98, -81
462.004, 17, 53
462.129, 93, -33
462.253, 74, -5
462.378, 45, -16
462.503, 88, -15
462.627, -31, 33
462.752, 59, -37
462.876, -25, -4
463.001, 160, -32
463.126, -150, -21
463.25, -97, -12
463.375, -205, -35
463.499, 37, -28
463.624, 37, -38
463.748, 80, -64
463.873, -94, -14
463.997, -130, 15
464.122, 32, 27
464.246, 194, -73
464.371, 37, -19
464.495, 4, 6
464.619, -23, -13
464.744, -46, -7
464.868, -134, -67
464.992, 238, 5
465.117, -84, -33
465.241, 123, -8
465.365, -11, -58
465.49, -147, 4
465.614, -156, -7
465.738, 143, 28
465.862, -164, -14
465.987, -190, -19
466.111, 51, -41
466.235, 160, -3
466.359, -143, -45
466.483, 23, -19
466.607, -149, 36
466.732, -158, -15
466.856, -41, -22
466.98, -114, -31
467.104, 77, 3
467.228, -206, -15
467.352, -111, 2
467.476, -88, 18
467.6, 19, -32
467.724, -95, -4
467.848, 51, -66
467.972, 82, 11
468.096, 67, 11
468.219, -26, -13
468.343, -135, 29
468.467, -49, -17
468.591, 83, -13
468.715, -52, 5
468.839, 13, -64
468.962, -44, -12
469.086, 57, -55
469.21, -152, -8
469.334, 38, -30
469.458, -120, 2
469.581, -5, -11
469.705, 47, -63
469.829, -12, -51
469.952, -72, -85
470.076, 30, -18
470.2, -66, -61
470.323, -113, 1
470.447, 0, -6
470.57, -13, -34
470.694, -114, -4
470.818, -120, 0
470.941, 82, -48
471.065, -132, -24
471.188, -39, -8
471.312, 75, 27
471.435, -35, -37
471.559, 19, 2
471.682, 44, 13
471.805, -23, 23
471.929, 1743, -53
472.052, 4709, -64
472.176, 3567, -12
472.299, 205, -20
472.422, 74, -17
472.545, 147, 0
472.669, 232, -10
472.792, -7, -31
472.915, 165, 0
473.039, 124, -38
473.162, -30, -21
473.285, 66, 6
473.408, 146, -52
473.531, -123, -29
473.655, -44, -44
473.778, 91, -30
473.901, 288, -20
474.024, -22, 37
474.147, 59, 26
474.27, -50, 41
474.393, -22, -49
474.516, 25, -27
474.639, -69, 3
474.762, 212, -64
474.885, -39, -6
475.008, -21, -47
475.131, -11, -59
475.254, -59, -36
475.377, -91, -42
475.5, 26, -2
475.623, 58, 1
475.746, 43, -7
475.869, -110, -10
475.991, -52, -11
476.114, 27, 3
476.237, -53, -19
476.36, 260, -28
476.483, -48, 17
476.605, -152, -18
476.728, -125, -61
476.851, 92, 49
476.973, 43, -34
477.096, 126, -49
477.219, 51, -2
477.341, -72, -52
477.464, -159, -9
477.587, -122, -8
477.709, 18, -27
477.832, -27, 30
477.954, -15, -51
478.077, 22, -15
478.2, 82, -2
478.322, -10, -41
478.445, 5, -3
478.567, -27, -10
478.69, 21, -46
478.812, -21, -29
478.934, -15, -20
479.057, -47, -33
479.179, 273, -54
479.302, 36, -15
479.424, -52, 0
479.546, -111, -47
479.669, -31, -43
479.791, -52, 42
479.913, 71, 2
480.035, 59, -12
480.158, -146, -8
480.28, -96, -38
480.402, -29, -12
480.524, -105, -12
480.647, -30, -36
480.769, 141, -18
480.891, 5, -28
481.013, 5, -25
481.135, -89, -7
481.257, -59, 3
481.379, -50, 0
481.501, 10, -19
481.623, -1, -61
481.746, 92, -32
481.868, 63, 4
481.99, 146, -26
482.112, 183, 14
482.233, -13, -43
482.355, 31, -93
482.477, 331, -7
482.599, 25, -2
482.721, 174, 3
482.843, -79, 13
482.965, 17, -38
483.087, -128, 20
483.209, 22, -23
483.33, 192, -29
483.452, 25, 13
483.574, -43, -3
483.696, 34, -7
483.817, -10, -14
483.939, -15, 11
484.061, 221, -72
484.183, 77, 5
484.304, 71, -31
484.426, 16, 11
484.547, 79, -48
484.669, 562, -40
484.791, 7, -67
484.912, 66, 55
485.034, 5, -29
485.155, -153, -20
485.277, -92, -2
485.398, 93, -2
485.52, -82, 14
485.641, 145, -52
485.763, -80, -17
485.884, 39, -42
486.006, 157, -48
486.127, 44, -12
486.249, -87, -44
486.37, 160, 4
486.491, 24, -2
486.613, -151, 3
486.734, 359, 10
486.855, 1330, -144
486.977, 968, -50
487.098, 41, -32
487.219, -61, -69
487.34, -114, 11
487.461, 110, -25
487.583, 84, 28
487.704, 221, -39
487.825, -4, -21
487.946, 167, -33
488.067, 47, -35
488.188, 156, -39
488.31, -148, -11
488.431, -135, 14
488.552, 116, -23
488.673, -79, 22
488.794, -97, 30
488.915, 156, -17
489.036, -26, -43
489.157, -100, -1
489.278, 182, -48
489.399, 113, -16
489.52, -43, -27
489.64, 152, -32
489.761, -110, -4
489.882, -9, -8
490.003, 31, -9
490.124, 37, 26
490.245, -61, -35
490.365, -105, 9
490.486, 34, -9
490.607, 56, -3
490.728, -70, -18
490.848, 164, 3
490.969, -71, -26
491.09, -60, 9
491.211, -68, -55
491.331, 142, 35
491.452, -86, 0
491.572, 148, -41
491.693, -38, -3
491.814, 18, 24
491.934, -51, -31
492.055, 160, -39
492.175, -92, -27
492.296, 24, 3
492.416, 48, -31
492.537, -14, -18
492.657, -51, 10
492.778, 1126, -37
492.898, 3427, 8
493.019, 2694, 55
493.139, 346, 0
493.259, 126, 3
493.38, -71, -45
493.5, 30, 36
493.62, -21, -20
493.741, 36, -29
493.861, 64, -34
493.981, 102, -18
494.101, -15, -3
494.222, -65, -3
494.342, -107, -34
494.462, -6, -27
494.582, -76, -29
494.702, -29, 7
494.823, 5, -1
494.943, 138, -2
495.063, -71, -23
495.183, -26, -51
495.303, -106, -19
495.423, 41, -33
495.543, 169, 20
495.663, 67, -35
495.783, -83, -3
495.903, 107, -13
496.023, -127, 5
496.143, 110, -39
496.263, 55, 25
496.383, 43, -72
496.503, -82, -5
496.623, 46, -32
496.742, 298, -52
496.862, -27, 16
496.982, 41, 22
497.102, -81, -20
497.222, -138, 1
497.341, -61, -60
497.461, 48, 36
497.581, 247, -69
497.701, -75, -39
497.82, 229, 13
497.94, 64, -2
498.06, 44, -10
498.179, 272, -21
498.299, -40, -17
498.419, 90, -13
498.538, -151, -4
498.658, 166, -69
498.777, 96, 0
498.897, -15, 12
499.016, 55, -13
499.136, -121, -11
499.255, 21, 12
499.375, -70, 18
499.494, -1, -41
499.614, 9, 5
499.733, 6, 30
499.852, -42, -62
499.972, 60, 3
500.091, 22, 6
500.211, 66, -45
500.33, -132, -25
500.449, -52, -51
500.568, -39, -13
500.688, 94, -22
500.807, 36, -11
500.926, 27, -80
501.045, -8, 25
501.165, -54, -22
501.284, -75, -28
501.403, 10, 15
501.522, 168, 17
501.641, 239, -1
501.76, 35, -17
501.879, 200, 2
501.998, 609, -4
502.117, 6898, 107
502.237, 15656, -10
502.356, 15656, -10
502.475, 5209, -14
502.594, 38, 16
502.712, -53, -8
502.831, 60, 1
502.95, 138, -32
503.069, 42, -27
503.188, 128, 9
503.307, 86, -30
503.426, 17, -14
503.545, 61, 33
503.664, 141, -27
503.782, 71, -52
503.901, -54, 24
